NO.,Fecha/hora,Intervalo,Temperatura interior,Humedad interior,Temperatura exterior,Humedad exterior,Presion relativa,Presion absoluta,Velocidad del viento(mph),ráfaga(mph),Direccion del viento,Punto de rocio(c°),sensacion termica(°C),Hora de lluvia(mm),24 Hour Rainfall(mm),Semana de lluvia(mm),Mes de lluvia(mm),Total de lluvia(mm)
1192,21/09/2018 08:57,5,24.6,64,24.6,63,29.89,26.34,0,0,---,17.1,24.6,0,0,0,0,0
1193,21/09/2018 09:00,5,24.1,60,23.6,60,29.89,26.34,0,0,---,15.4,23.6,0,0,0,0,0
1194,21/09/2018 09:02,5,24.7,64,24.6,63,29.89,26.35,0,0,---,17.1,24.6,0,0,0,0,0
1195,21/09/2018 09:05,5,24.1,60,23.6,60,29.89,26.34,0,0,---,15.4,23.6,0,0,0,0,0
1196,21/09/2018 09:07,5,24.7,64,24.6,63,29.89,26.35,0,0,---,17.1,24.6,0,0,0,0,0
1197,21/09/2018 09:10,5,24.1,60,23.6,60,29.89,26.34,0,0,---,15.4,23.6,0,0,0,0,0
1198,21/09/2018 09:12,5,24.7,64,24.6,63,29.89,26.35,0,0,---,17.1,24.6,0,0,0,0,0
1199,21/09/2018 09:15,5,24.1,60,23.6,60,29.89,26.34,0,0,---,15.4,23.6,0,0,0,0,0
1200,21/09/2018 09:17,5,24.7,64,24.6,63,29.89,26.34,0,0,---,17.1,24.6,0,0,0,0,0
1201,21/09/2018 09:20,5,24.1,60,23.6,60,29.9,26.35,0,0,---,15.4,23.6,0,0,0,0,0
1202,21/09/2018 09:22,5,24.7,64,24.6,63,29.89,26.34,0,0,---,17.1,24.6,0,0,0,0,0
1203,21/09/2018 09:25,5,24.1,60,23.6,59,29.9,26.35,0,0,---,15.1,23.6,0,0,0,0,0
1204,21/09/2018 09:27,5,24.7,64,24.7,63,29.89,26.34,0,0,---,17.2,24.7,0,0,0,0,0
1205,21/09/2018 09:30,5,24.1,60,23.6,59,29.9,26.35,0,0,---,15.1,23.6,0,0,0,0,0
1206,21/09/2018 09:32,5,24.7,64,24.7,63,29.89,26.35,0,0,---,17.2,24.7,0,0,0,0,0
1207,21/09/2018 09:35,5,24.1,60,23.6,59,29.9,26.35,0,0,---,15.1,23.6,0,0,0,0,0
