NO.,Fecha/hora,Intervalo,Temperatura interior,Humedad interior,Temperatura exterior,Humedad exterior,Presion relativa,Presion absoluta,Velocidad del viento(mph),ráfaga(mph),Direccion del viento,Punto de rocio(c°),Sensacion Termica(°C),Hora de lluvia(mm),24 Hour Rainfall(mm),Semana de lluvia(mm),Mes de lluvia(mm),Total de lluvia(mm)
27101,13/12/2019 15:11,5,23.8,74,19.4,43,30.08,26.36,8.3,9.8,SSW,6.5,16.9,4.2,22.2,36.3,78.9,1568.7
27102,21/01/2020 12:23,5,28.8,55,26.5,15,29.99,26.27,9.8,12.1,S,-2.2,25,269.7,269.7,269.7,269.7,1838.4
27103,21/01/2020 12:28,5,28.6,54,26.5,15,29.99,26.27,9.2,11.4,SSW,-2.2,25.1,269.7,269.7,269.7,269.7,1838.4
27104,21/01/2020 12:33,5,28.5,54,26.3,13,29.99,26.27,8.3,10.7,S,-4.3,25.1,269.7,269.7,269.7,269.7,1838.4
27105,21/01/2020 12:38,5,28.4,53,26,14,30,26.28,8.3,11.4,S,-3.5,24.7,269.7,269.7,269.7,269.7,1838.4
27106,21/01/2020 12:43,5,28.1,53,26,14,30,26.28,10.7,12.1,S,-3.5,24.3,269.7,269.7,269.7,269.7,1838.4
27107,21/01/2020 12:48,5,28.1,53,25.9,15,29.99,26.27,9.2,11.4,S,-2.7,24.4,269.7,269.7,269.7,269.7,1838.4
27108,21/01/2020 12:53,5,27.9,53,25.9,15,29.99,26.27,9.8,13.6,WSW,-2.7,24.3,269.7,269.7,269.7,269.7,1838.4
27109,21/01/2020 12:58,5,27.9,53,25.9,15,29.99,26.27,10.7,13,WSW,-2.7,24.2,269.7,269.7,269.7,269.7,1838.4
27110,21/01/2020 13:03,5,27.7,53,25.9,14,30,26.28,10.7,13.6,S,-3.6,24.2,0,269.7,269.7,269.7,1838.4
27111,21/01/2020 13:08,5,27.7,53,25.9,15,30,26.28,9.8,14.5,SSW,-2.7,24.3,0,269.7,269.7,269.7,1838.4
27112,21/01/2020 13:13,5,27.5,54,25.7,15,30,26.28,10.7,13,WSW,-2.8,23.9,0,269.7,269.7,269.7,1838.4
27113,21/01/2020 13:18,5,27.5,54,25.7,15,30,26.28,11.4,13,S,-2.8,23.8,0,269.7,269.7,269.7,1838.4
